# family: span/predicates
# schema: 1
# generator: texdig-conformance 0.0.0
# rule: all ordered pairs of half-open spans over boundaries 0 through 5, start-major then end-major
# laws: P1 P2 P3 P4

00 00 00 00 00 ; A:[0,0) ; B:[0,0) ; C:1 ; Q:0 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,0) ; B:[0,1) ; C:0 ; Q:0 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,0) ; B:[0,2) ; C:0 ; Q:0 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,0) ; B:[0,3) ; C:0 ; Q:0 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,0) ; B:[0,4) ; C:0 ; Q:0 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,0) ; B:[0,5) ; C:0 ; Q:0 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,0) ; B:[1,1) ; C:0 ; Q:0 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,0) ; B:[1,2) ; C:0 ; Q:0 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,0) ; B:[1,3) ; C:0 ; Q:0 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,0) ; B:[1,4) ; C:0 ; Q:0 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,0) ; B:[1,5) ; C:0 ; Q:0 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,0) ; B:[2,2) ; C:0 ; Q:0 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,0) ; B:[2,3) ; C:0 ; Q:0 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,0) ; B:[2,4) ; C:0 ; Q:0 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,0) ; B:[2,5) ; C:0 ; Q:0 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,0) ; B:[3,3) ; C:0 ; Q:0 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,0) ; B:[3,4) ; C:0 ; Q:0 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,0) ; B:[3,5) ; C:0 ; Q:0 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,0) ; B:[4,4) ; C:0 ; Q:0 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,0) ; B:[4,5) ; C:0 ; Q:0 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,0) ; B:[5,5) ; C:0 ; Q:0 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,1) ; B:[0,0) ; C:1 ; Q:1 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,1) ; B:[0,1) ; C:1 ; Q:0 ; I:1 ; X:0
00 00 00 00 00 ; A:[0,1) ; B:[0,2) ; C:0 ; Q:0 ; I:1 ; X:0
00 00 00 00 00 ; A:[0,1) ; B:[0,3) ; C:0 ; Q:0 ; I:1 ; X:0
00 00 00 00 00 ; A:[0,1) ; B:[0,4) ; C:0 ; Q:0 ; I:1 ; X:0
00 00 00 00 00 ; A:[0,1) ; B:[0,5) ; C:0 ; Q:0 ; I:1 ; X:0
00 00 00 00 00 ; A:[0,1) ; B:[1,1) ; C:1 ; Q:1 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,1) ; B:[1,2) ; C:0 ; Q:0 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,1) ; B:[1,3) ; C:0 ; Q:0 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,1) ; B:[1,4) ; C:0 ; Q:0 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,1) ; B:[1,5) ; C:0 ; Q:0 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,1) ; B:[2,2) ; C:0 ; Q:0 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,1) ; B:[2,3) ; C:0 ; Q:0 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,1) ; B:[2,4) ; C:0 ; Q:0 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,1) ; B:[2,5) ; C:0 ; Q:0 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,1) ; B:[3,3) ; C:0 ; Q:0 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,1) ; B:[3,4) ; C:0 ; Q:0 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,1) ; B:[3,5) ; C:0 ; Q:0 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,1) ; B:[4,4) ; C:0 ; Q:0 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,1) ; B:[4,5) ; C:0 ; Q:0 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,1) ; B:[5,5) ; C:0 ; Q:0 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,2) ; B:[0,0) ; C:1 ; Q:1 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,2) ; B:[0,1) ; C:1 ; Q:1 ; I:1 ; X:0
00 00 00 00 00 ; A:[0,2) ; B:[0,2) ; C:1 ; Q:0 ; I:1 ; X:0
00 00 00 00 00 ; A:[0,2) ; B:[0,3) ; C:0 ; Q:0 ; I:1 ; X:0
00 00 00 00 00 ; A:[0,2) ; B:[0,4) ; C:0 ; Q:0 ; I:1 ; X:0
00 00 00 00 00 ; A:[0,2) ; B:[0,5) ; C:0 ; Q:0 ; I:1 ; X:0
00 00 00 00 00 ; A:[0,2) ; B:[1,1) ; C:1 ; Q:1 ; I:0 ; X:0
00 00 00 00 00 ; A:[0,2) ; B:[1,2) ; C:1 ; Q:1 ; I:1 ; X:0
00 00 00 00 00 ; A:[0,2) ; B:[1,3) ; C:0 ; Q:0 ; I:1 ; X:1
