# family: topology/lines
# schema: 1
# generator: texdig-conformance 0.0.0
# convention: atoms
# rule: preorder mixes of pieces A, CR, LF, CRLF; explicit through four pieces; digest covers exactly five pieces
# laws: T1 T2 T3 T4 T5
# digest: sha256:655361ffc22bc4e633d582359aee6dca64cada96ab2a8bf380ae7bdc62b2f891 canon:rows-v1 count:1024 tier:default

- ; E:utf-8 ; L:0 ; I:0 ; P:0/0/0/0
41 ; E:utf-8 ; L:0 ; I:0,0 ; P:0/0/0/0,0/1/1/1
41 41 ; E:utf-8 ; L:0 ; I:0,0,0 ; P:0/0/0/0,0/1/1/1,0/2/2/2
41 41 41 ; E:utf-8 ; L:0 ; I:0,0,0,0 ; P:0/0/0/0,0/1/1/1,0/2/2/2,0/3/3/3
41 41 41 41 ; E:utf-8 ; L:0 ; I:0,0,0,0,0 ; P:0/0/0/0,0/1/1/1,0/2/2/2,0/3/3/3,0/4/4/4
41 41 41 0D ; E:utf-8 ; L:0,4 ; I:0,0,0,0,1 ; P:0/0/0/0,0/1/1/1,0/2/2/2,0/3/3/3,1/0/0/0
41 41 41 0A ; E:utf-8 ; L:0,4 ; I:0,0,0,0,1 ; P:0/0/0/0,0/1/1/1,0/2/2/2,0/3/3/3,1/0/0/0
41 41 41 0D 0A ; E:utf-8 ; L:0,5 ; I:0,0,0,0,0,1 ; P:0/0/0/0,0/1/1/1,0/2/2/2,0/3/3/3,0/4/4/4,1/0/0/0
41 41 0D ; E:utf-8 ; L:0,3 ; I:0,0,0,1 ; P:0/0/0/0,0/1/1/1,0/2/2/2,1/0/0/0
41 41 0D 41 ; E:utf-8 ; L:0,3 ; I:0,0,0,1,1 ; P:0/0/0/0,0/1/1/1,0/2/2/2,1/0/0/0,1/1/1/1
41 41 0D 0D ; E:utf-8 ; L:0,3,4 ; I:0,0,0,1,2 ; P:0/0/0/0,0/1/1/1,0/2/2/2,1/0/0/0,2/0/0/0
41 41 0D 0A ; E:utf-8 ; L:0,4 ; I:0,0,0,0,1 ; P:0/0/0/0,0/1/1/1,0/2/2/2,0/3/3/3,1/0/0/0
41 41 0D 0D 0A ; E:utf-8 ; L:0,3,5 ; I:0,0,0,1,1,2 ; P:0/0/0/0,0/1/1/1,0/2/2/2,1/0/0/0,1/1/1/1,2/0/0/0
41 41 0A ; E:utf-8 ; L:0,3 ; I:0,0,0,1 ; P:0/0/0/0,0/1/1/1,0/2/2/2,1/0/0/0
41 41 0A 41 ; E:utf-8 ; L:0,3 ; I:0,0,0,1,1 ; P:0/0/0/0,0/1/1/1,0/2/2/2,1/0/0/0,1/1/1/1
41 41 0A 0D ; E:utf-8 ; L:0,3,4 ; I:0,0,0,1,2 ; P:0/0/0/0,0/1/1/1,0/2/2/2,1/0/0/0,2/0/0/0
41 41 0A 0A ; E:utf-8 ; L:0,3,4 ; I:0,0,0,1,2 ; P:0/0/0/0,0/1/1/1,0/2/2/2,1/0/0/0,2/0/0/0
41 41 0A 0D 0A ; E:utf-8 ; L:0,3,5 ; I:0,0,0,1,1,2 ; P:0/0/0/0,0/1/1/1,0/2/2/2,1/0/0/0,1/1/1/1,2/0/0/0
41 41 0D 0A ; E:utf-8 ; L:0,4 ; I:0,0,0,0,1 ; P:0/0/0/0,0/1/1/1,0/2/2/2,0/3/3/3,1/0/0/0
41 41 0D 0A 41 ; E:utf-8 ; L:0,4 ; I:0,0,0,0,1,1 ; P:0/0/0/0,0/1/1/1,0/2/2/2,0/3/3/3,1/0/0/0,1/1/1/1
41 41 0D 0A 0D ; E:utf-8 ; L:0,4,5 ; I:0,0,0,0,1,2 ; P:0/0/0/0,0/1/1/1,0/2/2/2,0/3/3/3,1/0/0/0,2/0/0/0
41 41 0D 0A 0A ; E:utf-8 ; L:0,4,5 ; I:0,0,0,0,1,2 ; P:0/0/0/0,0/1/1/1,0/2/2/2,0/3/3/3,1/0/0/0,2/0/0/0
41 41 0D 0A 0D 0A ; E:utf-8 ; L:0,4,6 ; I:0,0,0,0,1,1,2 ; P:0/0/0/0,0/1/1/1,0/2/2/2,0/3/3/3,1/0/0/0,1/1/1/1,2/0/0/0
41 0D ; E:utf-8 ; L:0,2 ; I:0,0,1 ; P:0/0/0/0,0/1/1/1,1/0/0/0
41 0D 41 ; E:utf-8 ; L:0,2 ; I:0,0,1,1 ; P:0/0/0/0,0/1/1/1,1/0/0/0,1/1/1/1
41 0D 41 41 ; E:utf-8 ; L:0,2 ; I:0,0,1,1,1 ; P:0/0/0/0,0/1/1/1,1/0/0/0,1/1/1/1,1/2/2/2
41 0D 41 0D ; E:utf-8 ; L:0,2,4 ; I:0,0,1,1,2 ; P:0/0/0/0,0/1/1/1,1/0/0/0,1/1/1/1,2/0/0/0
41 0D 41 0A ; E:utf-8 ; L:0,2,4 ; I:0,0,1,1,2 ; P:0/0/0/0,0/1/1/1,1/0/0/0,1/1/1/1,2/0/0/0
41 0D 41 0D 0A ; E:utf-8 ; L:0,2,5 ; I:0,0,1,1,1,2 ; P:0/0/0/0,0/1/1/1,1/0/0/0,1/1/1/1,1/2/2/2,2/0/0/0
41 0D 0D ; E:utf-8 ; L:0,2,3 ; I:0,0,1,2 ; P:0/0/0/0,0/1/1/1,1/0/0/0,2/0/0/0
41 0D 0D 41 ; E:utf-8 ; L:0,2,3 ; I:0,0,1,2,2 ; P:0/0/0/0,0/1/1/1,1/0/0/0,2/0/0/0,2/1/1/1
41 0D 0D 0D ; E:utf-8 ; L:0,2,3,4 ; I:0,0,1,2,3 ; P:0/0/0/0,0/1/1/1,1/0/0/0,2/0/0/0,3/0/0/0
41 0D 0D 0A ; E:utf-8 ; L:0,2,4 ; I:0,0,1,1,2 ; P:0/0/0/0,0/1/1/1,1/0/0/0,1/1/1/1,2/0/0/0
41 0D 0D 0D 0A ; E:utf-8 ; L:0,2,3,5 ; I:0,0,1,2,2,3 ; P:0/0/0/0,0/1/1/1,1/0/0/0,2/0/0/0,2/1/1/1,3/0/0/0
41 0D 0A ; E:utf-8 ; L:0,3 ; I:0,0,0,1 ; P:0/0/0/0,0/1/1/1,0/2/2/2,1/0/0/0
41 0D 0A 41 ; E:utf-8 ; L:0,3 ; I:0,0,0,1,1 ; P:0/0/0/0,0/1/1/1,0/2/2/2,1/0/0/0,1/1/1/1
41 0D 0A 0D ; E:utf-8 ; L:0,3,4 ; I:0,0,0,1,2 ; P:0/0/0/0,0/1/1/1,0/2/2/2,1/0/0/0,2/0/0/0
41 0D 0A 0A ; E:utf-8 ; L:0,3,4 ; I:0,0,0,1,2 ; P:0/0/0/0,0/1/1/1,0/2/2/2,1/0/0/0,2/0/0/0
41 0D 0A 0D 0A ; E:utf-8 ; L:0,3,5 ; I:0,0,0,1,1,2 ; P:0/0/0/0,0/1/1/1,0/2/2/2,1/0/0/0,1/1/1/1,2/0/0/0
41 0D 0D 0A ; E:utf-8 ; L:0,2,4 ; I:0,0,1,1,2 ; P:0/0/0/0,0/1/1/1,1/0/0/0,1/1/1/1,2/0/0/0
41 0D 0D 0A 41 ; E:utf-8 ; L:0,2,4 ; I:0,0,1,1,2,2 ; P:0/0/0/0,0/1/1/1,1/0/0/0,1/1/1/1,2/0/0/0,2/1/1/1
